"common.ok","","Ok","Ok"
"common.cancel","","Cancel","Cancel"
"common.clear","","Clear","Clear"
"common.search","","Search...","Search..."
"common.close","","Close","Close"
"common.add","","Add","Add"
"common.remove","","Remove","Remove"
"common.off","","Off","Off"
"common.on","","On","On"
"common.update","Verb, as in an ""Update"" button","Update","Update"
"common.setup","Noun, as in ""Viewing a Setup screen""","Setup","Setup"
"common.setUpVerb","Verb, as in ""How to Set Up this product""","Set Up","Set Up"
"common.showSetup","Use title case","Show Setup","Show Setup"
"common.hideSetup","Use title case","Hide Setup","Hide Setup"
"common.loading","","Loading","Loading"
"common.install","","Install","Install"
"common.next","","Next","Next"
"common.done","","Done","Done"
"common.dismiss","","Dismiss","Dismiss"
"app.webCaptioner","","Web Captioner","Web Captioner"
"app.description","","Real-time captioning for your event, speech, classroom lecture, or church service.","Real-time captioning for your event, speech, classroom lecture, or church service."
"captioner.volumeMeter.tooLoud","","Too loud","Too loud"
"captioner.volumeMeter.tooQuiet","","Too quiet","Too quiet"
"captioner.clearTranscript.title","Note punctuation","Clear transcript?","Clear transcript?"
"captioner.clearTranscript.ok","Use title case","Clear Transcript","Clear Transcript"
"captioner.saveToFile.title","Use title case","Save to File","Save to File"
"captioner.saveToFile.description","","Save your current transcript to a file.","Save your current transcript to a file."
"captioner.saveToFile.transcriptEmptyMessage","","Psst... you know you don't have anything to save yet, right?","Psst... you know you don't have anything to save yet, right?"
"captioner.saveToFile.textFile","Use title case","Text File","Text File"
"captioner.saveToFile.text","Short for ""Text File""","Text","Text"
"captioner.saveToFile.wordDocument","Use title case","Word Document","Word Document"
"captioner.saveToFile.word","Short for ""Word Document""","Word","Word"
"receiver.splash.captionsWillBeginShortly","","Captions will begin shortly.","Captions will begin shortly."
"receiver.splash.connected","","Connected!","Connected!"
"receiver.splash.useThisCodeToConnect","","Use this code to connect.","Use this code to connect."
"googleCast.cast","Short for the Google Cast brand.","Cast","Cast"
"googleCast.connecting","","Connecting","Connecting"
"googleCast.castingToReceiver","Do not translate {receiverName}. The name of the selected Chromecast receiver will be inserted at that point.","Casting to {receiverName}","Casting to {receiverName}"
"googleCast.castingFailed","Use title case","Casting Failed","Casting Failed"
"googleCast.unableToCast","Use title case","Unable to Cast","Unable to Cast"
"googleCast.pleaseTryAgain","","Please try again.","Please try again."
"navbar.captioner.startCaptioning","Use title case","Start Captioning","Start Captioning"
"navbar.captioner.stopCaptioning","Use title case","Stop Captioning","Stop Captioning"
"navbar.captioner.listeningToMicrophone","Do not translate {microphoneName}. The microphone name will be inserted at that point.","Listening to ""{microphoneName}""","Listening to ""{microphoneName}"""
"navbar.captioner.listening","","Listening","Listening"
