Title,Description,pt-BR
common.ok,,Ok
common.cancel,,Cancelar
common.clear,,Limpar
common.search,,Procurar...
common.close,,Fechar
common.add,,Adicionar
common.remove,,Remover
common.off,,Desligar
common.on,,Ligar
common.update,"Verb, as in an ""Update"" button",Atualizar
common.setup,"Noun, as in ""Viewing a Setup screen""",Configuração
common.setUpVerb,"Verb, as in ""How to Set Up this product""",Configurar
common.showSetup,Use title case,Visualizar configuração
common.hideSetup,Use title case,Ocultar configuração
common.loading,,Carregando
common.install,,Instalar
common.next,,Próximo
common.done,,Pronto
common.dismiss,,Dispensar
app.webCaptioner,,Web Captioner
app.description,,"Legendas em tempo real para o seu evento, discurso, palestra em sala-de-aula ou culto na igreja."
captioner.volumeMeter.tooLoud,,Muito alto
captioner.volumeMeter.tooQuiet,,Muito baixo
captioner.clearTranscript.title,Note punctuation,Limpar transcrição? 
captioner.clearTranscript.ok,Use title case,Limpar transcrição
captioner.saveToFile.title,Use title case,Salvar arquivo
captioner.saveToFile.description,,Salve sua transcrição atual em um arquivo.
captioner.saveToFile.transcriptEmptyMessage,,"Psiu... Sabe que você ainda não tem nada para salvar, né?"
captioner.saveToFile.textFile,Use title case,Arquivo de texto
captioner.saveToFile.text,"Short for ""Text File""",Texto
captioner.saveToFile.wordDocument,Use title case,Documento do Word
captioner.saveToFile.word,"Short for ""Word Document""",Word
receiver.splash.captionsWillBeginShortly,,As legendas começarão em breve.
receiver.splash.connected,,Conectado!
receiver.splash.useThisCodeToConnect,,Usar este código para se conectar.
googleCast.cast,Short for the Google Cast brand.,Transmitir
googleCast.connecting,,Conectando
googleCast.castingToReceiver,Do not translate {receiverName}. The name of the selected Chromecast receiver will be inserted at that point.,Transmitindo ao {receiverName}
googleCast.castingFailed,Use title case,Transmissão Falhou
googleCast.unableToCast,Use title case,Incapaz de transmitir
googleCast.pleaseTryAgain,,"Por favor, tente novamente."
navbar.captioner.startCaptioning,Use title case,Começar a legendar
navbar.captioner.stopCaptioning,Use title case,Parar de legendar
navbar.captioner.listeningToMicrophone,Do not translate {microphoneName}. The microphone name will be inserted at that point.,"Escutando ao ""{microphoneName}"""
navbar.captioner.listening,,Escutando
navbar.menu.about,Do not translate. This is a reference to another phrase.,@:settings.about.about
navbar.menu.blog,Use title case,Blog
navbar.menu.helpCenter,Use title case,Centro de ajuda
navbar.menu.community,Use title case,Comunidade
navbar.menu.donate,Use title case,Doar
navbar.menu.feedback,Use title case,Opiniões
navbar.menu.newWindow,Use title case,Nova janela
navbar.menu.newWindowDescription,Do not translate. This is a reference to another phrase.,@:settings.controls.showNewWindow
navbar.menu.saveToFile,Do not translate. This is a reference to another phrase.,@:captioner.saveToFile.title
navbar.menu.settings,Use title case,Ajustes
navbar.vmixNotConnected,"Use title case. ""vMix"" is the name for the vMix streaming software.",vMix não está conectado
settings.settings,Use title case,Ajustes
settings.general,Use title case,Geral
settings.integrations,Use title case,Integrações
settings.other,"Refers to an ""Other"" category of settings.",Outros
settings.about.about,Use title case,Sobre
